data_coleta,data_divulgacao,instituto,turno,candidato,percentual
2026-06-16 21:26:52,2026-06-10,Quaest,1,Lula,39
2026-06-16 21:26:52,2026-06-10,Quaest,1,Flávio Bolsonaro,29
2026-06-16 21:26:52,2026-06-10,Quaest,1,Renan Santos,3
2026-06-16 21:26:52,2026-06-10,Quaest,1,Ronaldo Caiado,3
2026-06-16 21:26:52,2026-06-10,Quaest,1,Aécio Neves,2
2026-06-16 21:26:52,2026-06-10,Quaest,1,Romeu Zema,2
2026-06-16 21:26:52,2026-06-10,Quaest,1,Augusto Cury,1
2026-06-16 21:26:52,2026-06-10,Quaest,1,Joaquim Barbosa,1
2026-06-16 21:26:52,2026-06-10,Quaest,1,Samara Martins,1
2026-06-16 21:26:52,2026-06-10,Quaest,1,Cabo Daciolo,0
2026-06-16 21:26:52,2026-06-10,Quaest,1,Edmilson Costa,0
2026-06-16 21:26:52,2026-06-10,Quaest,1,Heró Bezerra,0
2026-06-16 21:26:52,2026-06-10,Quaest,1,Branco/nulo/não vai votar,9
2026-06-16 21:26:52,2026-06-10,Quaest,1,Não sabe,10
2026-06-16 21:26:52,2026-06-10,Quaest,2,Lula,44
2026-06-16 21:26:52,2026-06-10,Quaest,2,Flávio Bolsonaro,38
2026-06-16 21:26:52,2026-06-10,Quaest,2,Branco/nulo/não vai votar,14
2026-06-16 21:26:52,2026-06-10,Quaest,2,Não sabe,4
2026-06-16 21:26:52,2026-05-13,Quaest,2,Lula,42
2026-06-16 21:26:52,2026-05-13,Quaest,2,Flávio Bolsonaro,41
2026-06-16 21:26:52,2026-05-13,Quaest,2,Não sabe,3
2026-06-16 21:26:52,2026-05-13,Quaest,2,Branco/nulo/não vai votar,14
2026-06-16 21:26:52,2026-05-13,Quaest,1,Lula,39
2026-06-16 21:26:52,2026-05-13,Quaest,1,Flávio Bolsonaro,33
2026-06-16 21:26:52,2026-05-13,Quaest,1,Ronaldo Caiado,4
2026-06-16 21:26:52,2026-05-13,Quaest,1,Romeu Zema,4
2026-06-16 21:26:52,2026-05-13,Quaest,1,Renan Santos,2
2026-06-16 21:26:52,2026-05-13,Quaest,1,Augusto Cury,1
2026-06-16 21:26:52,2026-05-13,Quaest,1,Cabo Daciolo,1
2026-06-16 21:26:52,2026-05-13,Quaest,1,Samara Martins,1
2026-06-16 21:26:52,2026-05-13,Quaest,1,Não sabe,5
2026-06-16 21:26:52,2026-05-13,Quaest,1,Branco/nulo/não vai votar,10
